id,title,company,location,cityNorm,postedAt,roleCategory,relevanceLevel,rnTier,rnMentionCount,rnHardRequireHits,rnOptionalHits,rnAlternativeHits,flutterMentions,rnInTitle,genericTitle,skills,seniorityLevelField,employmentType,minYearsExperience,workModeMentions,jobPosterName,jobPosterTitle,sourceQueries,dataQuality,jobUrl
4414469117,Frontend (React) Engineering Lead - AITDS,Cognizant,"Hyderabad, Telangana, India",Hyderabad,2026-08-29,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"AWS, Authentication, CI/CD, JavaScript, React, Testing (any), TypeScript",Not Applicable,Full-time,6,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/frontend-react-engineering-lead-aitds-at-cognizant-4414469117
4467176458,Frontend_React,Zensar Technologies,"Noida, Uttar Pradesh, India",Delhi NCR,2026-09-17,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Jest, React, React Testing Library, Redux, Testing (any)",Not Applicable,Full-time,5,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/frontend-react-at-zensar-technologies-4467176458
4465407395,SDE - 2 (Frontend),Pepper,"Mumbai, Maharashtra, India",Mumbai,2026-09-12,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Accessibility, CSS, Context API, Debugging, Git, JavaScript, Next.js, React, Redux, Tailwind, TypeScript, Zustand",Mid-Senior level,Full-time,4,Remote,Vasudha Sharma,Talent Acquisition | Fueling Rocketship with Top Talent,React Developer,,https://in.linkedin.com/jobs/view/sde-2-frontend-at-pepper-4465407395
4461563408,UI React - Senior Engineer,Iris Software Inc.,"Noida, Uttar Pradesh, India",Delhi NCR,2026-09-01,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"CI/CD, CSS, Debugging, HTML, JavaScript, Jest, React, Redux, Testing (any)",Not Applicable,Full-time,5,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/ui-react-senior-engineer-at-iris-software-inc-4461563408
4459120403,Senior Software Engineer I (Frontend),MakeMyTrip,"Bengaluru, Karnataka, India",Bengaluru,2026-09-16,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Agile/Scrum, CI/CD, CSS, Git, HTML, JavaScript, Jest, REST API, React, Redux, Testing (any), TypeScript",Not Applicable,Full-time,2,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/senior-software-engineer-i-frontend-at-makemytrip-4459120403
4468270025,Senior Frontend Engineer,HuntingCube,"Bengaluru East, Karnataka, India",Bengaluru,2026-09-16,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Agile/Scrum, CSS, Git, HTML, REST API, React, Tailwind, TypeScript",Not Applicable,Full-time,1,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/senior-frontend-engineer-at-huntingcube-4468270025
4462409157,Frontend Developer,Weekday AI (YC W21),"Bengaluru, Karnataka, India",Bengaluru,2026-09-02,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Accessibility, Debugging, Git, JavaScript, React",Associate,Full-time,3,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/frontend-developer-at-weekday-ai-yc-w21-4462409157
4457963178,Founding Frontend Engineer (ReactJS),AlgoTest (YC S22),"Delhi, Delhi, India",Delhi NCR,2026-08-26,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"CSS, JavaScript, Next.js, REST API, React",Not Applicable,Full-time,,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/founding-frontend-engineer-reactjs-at-algotest-yc-s22-4457963178
4461966225,Senior Frontend Developer,PrepLadder,"Bengaluru, Karnataka, India",Bengaluru,2026-09-04,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Agile/Scrum, CSS, Context API, Git, JavaScript, Next.js, REST API, React, Redux, Tailwind",Not Applicable,Full-time,2,not stated,Nainpreet Kaur,People & Talent Strategist  | Scaling Tech and Business Teams @ Unacademy,React Developer,,https://in.linkedin.com/jobs/view/senior-frontend-developer-at-prepladder-4461966225
4461913368,JR-204090 React Developer Middle,Customertimes,"Bengaluru, Karnataka, India",Bengaluru,2026-09-03,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Accessibility, Agile/Scrum, CI/CD, Context API, Git, GraphQL, JavaScript, Jest, REST API, React, React Testing Library, Redux, Redux Toolkit, Testing (any), TypeScript",Not Applicable,Full-time,4,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/jr-204090-react-developer-middle-at-customertimes-4461913368
4451194797,Senior Frontend Developer,"Prudent Technologies and Consulting, Inc.","Hyderabad, Telangana, India",Hyderabad,2026-09-09,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Accessibility, JavaScript, Next.js, React, Redux, TypeScript",Mid-Senior level,Full-time,,not stated,Tejaswini Venna,"Tech Hiring Specialist - 

Dedicated to matching skilled IT talent with the right opportunities. Experienced in end-to-end recruitement. I help build…",React Developer,,https://in.linkedin.com/jobs/view/senior-frontend-developer-at-prudent-technologies-and-consulting-inc-4451194797
4463432874,Javascript Developer,Birlasoft,"Hyderabad, Telangana, India",Hyderabad,2026-09-10,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Accessibility, CSS, JavaScript, React",Mid-Senior level,Full-time,,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/javascript-developer-at-birlasoft-4463432874
4449914624,Senior Frontend Engineer (React + Chrome Extension),TTEC Digital,"Hyderabad, Telangana, India",Hyderabad,2026-09-09,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Accessibility, Debugging, JavaScript, React, Testing (any), TypeScript",Not Applicable,Full-time,,Remote,,,React Developer,,https://in.linkedin.com/jobs/view/senior-frontend-engineer-react-%2B-chrome-extension-at-ttec-digital-4449914624
4461973030,Senior React Developer,P99SOFT,"Hyderabad, Telangana, India",Hyderabad,2026-09-04,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Agile/Scrum, CSS, Debugging, Git, JavaScript, Jest, REST API, React, React Testing Library, Redux, Tailwind, Testing (any), TypeScript",Mid-Senior level,Full-time,8,Hybrid,,,React Developer,,https://in.linkedin.com/jobs/view/senior-react-developer-at-p99soft-4461973030
4390909914,Senior Front End Developer,Siemens Energy,"Pune Division, Maharashtra, India",Pune,2026-09-05,React Native,High,RN Strong,4,0,0,4,4,False,False,"CI/CD, CSS, Flutter, Git, GraphQL, JavaScript, Jest, React, React Native, Redux, Tailwind, Testing (any), TypeScript",Not Applicable,Full-time,2,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/senior-front-end-developer-at-siemens-energy-4390909914
4464300439,Senior Frontend Engineer in React,ISS Market Intelligence,Mumbai Metropolitan Region,Mumbai Metropolitan,2026-09-07,React Native,Medium,RN Optional,2,0,2,0,0,False,False,"Accessibility, Agile/Scrum, CI/CD, Cross-platform, Debugging, Git, GitHub Actions, GraphQL, JavaScript, Jenkins, Jest, React, React Native, React Testing Library, Redux, Testing (any), TypeScript",Mid-Senior level,Full-time,3,not stated,Rohit Gosai,Talent Acquisition Professional | ISS STOXX | EX Hathway - Reliance Jio company,React Developer,,https://in.linkedin.com/jobs/view/senior-frontend-engineer-in-react-at-iss-market-intelligence-4464300439
4457145138,React + Next.js developer,Recro,"Bengaluru, Karnataka, India",Bengaluru,2026-08-24,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"CSS, Context API, HTML, JavaScript, Next.js, React, Redux, TypeScript",Mid-Senior level,Full-time,3,Onsite,,,React Developer,,https://in.linkedin.com/jobs/view/react-%2B-next-js-developer-at-recro-4457145138
4461880487,Senior Frontend Engineer I - Confluent,IBM,"Bengaluru, Karnataka, India",Bengaluru,2026-09-07,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"GraphQL, JavaScript, Jest, React, Testing (any), TypeScript",Mid-Senior level,Full-time,,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/senior-frontend-engineer-i-confluent-at-ibm-4461880487
4466176977,React Developer,Recro,"Bengaluru, Karnataka, India",Bengaluru,2026-09-15,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Accessibility, Agile/Scrum, CI/CD, CSS, Debugging, Git, HTML, JavaScript, Jest, REST API, React, React Testing Library, Redux, Testing (any), TypeScript",Associate,Full-time,3,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/react-developer-at-recro-4466176977
4457253985,React Developer,P99SOFT,"Hyderabad, Telangana, India",Hyderabad,2026-08-26,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Agile/Scrum, CSS, Debugging, Git, JavaScript, Jest, Performance Optimization, REST API, React, React Testing Library, Redux, Tailwind, Testing (any), TypeScript",Mid-Senior level,Full-time,3,Hybrid,,,React Developer,,https://in.linkedin.com/jobs/view/react-developer-at-p99soft-4457253985
4467467698,Software Developer,Brainware University,"Barasat, West Bengal, India",Barasat,2026-09-15,React / Frontend,Medium,Not RN,0,0,0,0,0,False,True,"Context API, Git, JavaScript, REST API, React, Redux",Mid-Senior level,Full-time,2,Onsite,Hritika Das,People Operations | Ex-PO at Federal Bank | Stakeholder Management | Recruitment | MSW,React Developer,,https://in.linkedin.com/jobs/view/software-developer-at-brainware-university-4467467698
4466555582,Frontend Developer,Space Inventive,"Hyderabad, Telangana, India",Hyderabad,2026-09-15,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"AWS, Accessibility, Authentication, JavaScript, Next.js, REST API, React, TypeScript",Mid-Senior level,Full-time,4,not stated,Sai Gowtham Paipuri,"Talent Matchmaker for AI/ML & Technology Talent | Bridging People, Skills & Business Needs | Enhancing Employee Experience & Operational Excellence",React Developer,,https://in.linkedin.com/jobs/view/frontend-developer-at-space-inventive-4466555582
4466842582,"Senior Frontend Developer, Ahmedabad GUJ",Trelleborg Sealing Solutions,Greater Ahmedabad Area,Ahmedabad,2026-09-16,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"AWS, CI/CD, Debugging, Jest, REST API, React, React Testing Library, Testing (any), TypeScript",Not Applicable,Full-time,,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/senior-frontend-developer-ahmedabad-guj-at-trelleborg-sealing-solutions-4466842582
4457953094,React JS Developer,InfoVision Inc.,"Pune District, Maharashtra, India",Pune,2026-08-26,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"CI/CD, CSS, Debugging, Git, JavaScript, Next.js, REST API, React, Tailwind",Associate,Full-time,3,not stated,Shivani Soni,TA,React Developer,,https://in.linkedin.com/jobs/view/react-js-developer-at-infovision-inc-4457953094
4457251519,React JS Developer-SDE 2,Truemeds,"Bangalore Urban, Karnataka, India",Bengaluru,2026-08-26,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Accessibility, CSS, Debugging, Git, JavaScript, Jest, React, React Testing Library, Redux, Tailwind, Testing (any)",Mid-Senior level,Full-time,3,Hybrid,Pankaj Kumar,HR@Truemeds l TISS ODCL’25 l BITS CH’19 l JSW Steel l Parle Agro l Tata Motors l IKS Health,React Developer,,https://in.linkedin.com/jobs/view/react-js-developer-sde-2-at-truemeds-4457251519
4463876613,Senior React Developer,Ascendion,"Chennai, Tamil Nadu, India",Chennai,2026-09-09,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Agile/Scrum, CSS, Context API, Debugging, Git, JavaScript, Next.js, REST API, React, Redux, Tailwind",Not Applicable,Full-time,12,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/senior-react-developer-at-ascendion-4463876613
4464167762,React Developer,Visdum,"Noida, Uttar Pradesh, India",Delhi NCR,2026-09-10,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"CSS, Git, HTML, JavaScript, REST API, React, Redux, Testing (any)",Entry level,Full-time,1,not stated,Jeetesh Harjani,Sales Commission Automation | ASC 606 Automation | ENTP,React Developer,,https://in.linkedin.com/jobs/view/react-developer-at-visdum-4464167762
4465392501,Sr Associate - Frontend Development,Amgen,"Hyderabad, Telangana, India",Hyderabad,2026-09-10,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"AWS, Agile/Scrum, CSS, Context API, Debugging, Git, HTML, JavaScript, REST API, React, Redux, Testing (any), TypeScript",Not Applicable,Full-time,4,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/sr-associate-frontend-development-at-amgen-4465392501
4461365447,Frontend Engineer (React),India Health Link,"Chennai, Tamil Nadu, India",Chennai,2026-09-03,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"AWS, Accessibility, React, TypeScript",Mid-Senior level,Full-time,3,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/frontend-engineer-react-at-india-health-link-4461365447
4454181247,React.js & Next.js Developer,SwipeLoan,"Pune Division, Maharashtra, India",Pune,2026-08-26,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"AWS, Agile/Scrum, Authentication, CI/CD, Context API, Debugging, Git, GraphQL, JavaScript, Jest, Next.js, React, React Testing Library, Redux, Redux Toolkit, Testing (any), TypeScript, Zustand",Entry level,Full-time,4,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/react-js-next-js-developer-at-swipeloan-4454181247
4462196167,React.js Developer,Cloudesign,Mumbai Metropolitan Region,Mumbai Metropolitan,2026-09-02,React Native,Medium,RN Optional,1,0,1,0,0,False,False,"AWS, Accessibility, CI/CD, CSS, HTML, JavaScript, Jest, MobX, Next.js, Node.js, React, React Native, Redux, Redux Toolkit, Tailwind, Testing (any), TypeScript",Not Applicable,Full-time,5,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/react-js-developer-at-cloudesign-4462196167
4463515246,Senior Web UI Developer - React - Hyderabad - India,Globant,"Telangana, India",Telangana,2026-09-08,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"CSS, HTML, JavaScript, React",Not Applicable,Full-time,,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/senior-web-ui-developer-react-hyderabad-india-at-globant-4463515246
4460865482,React Developer,BiCSoM,Greater Bengaluru Area,Bengaluru,2026-08-29,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"CSS, Git, Jest, Next.js, React, Redux, Tailwind, Testing (any)",Not Applicable,Full-time,,Remote,,,React Developer,,https://in.linkedin.com/jobs/view/react-developer-at-bicsom-4460865482
4466549537,React Developer in Bangalore,Quest Global,"Bengaluru, Karnataka, India",Bengaluru,2026-09-15,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Accessibility, Agile/Scrum, Authentication, CSS, Debugging, Git, HTML, JavaScript, React, React Testing Library, Redux, Redux Toolkit, Testing (any), TypeScript",Not Applicable,Full-time,4,Remote,,,React Developer,,https://in.linkedin.com/jobs/view/react-developer-in-bangalore-at-quest-global-4466549537
4462856866,"Associate/Senior Associate, Application Developer(ReactJS Frontend Developer), Consumer Banking Group Technology",DBS Bank,Greater Hyderabad Area,Hyderabad,2026-09-03,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Accessibility, Android, CI/CD, CSS, Context API, Debugging, Git, JavaScript, Jenkins, Jest, React, React Testing Library, Redux, Testing (any), TypeScript, Zustand, iOS",Not Applicable,Full-time,4,Hybrid,,,React Developer,,https://in.linkedin.com/jobs/view/associate-senior-associate-application-developer-reactjs-frontend-developer-consumer-banking-group-technology-at-dbs-bank-4462856866
4443776515,"Lead I - Senior Frontend Dev (React, Typescript)",UST,"Trivandrum, Kerala, India",Trivandrum,2026-09-02,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Agile/Scrum, CSS, Debugging, HTML, JavaScript, Jest, Node.js, React, React Testing Library, Tailwind, Testing (any), TypeScript",Not Applicable,Full-time,4,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/lead-i-senior-frontend-dev-react-typescript-at-ust-4443776515
4440100831,Senior Frontend Developer,AppZen,"Pune District, Maharashtra, India",Pune,2026-08-18,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Debugging, JavaScript, Jest, REST API, React, Testing (any), TypeScript",Mid-Senior level,Full-time,3,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/senior-frontend-developer-at-appzen-4440100831
4461165830,Senior Web UI Developer - React,NonStop io Technologies,"Pune Division, Maharashtra, India",Pune,2026-09-04,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Agile/Scrum, Authentication, CSS, Context API, Debugging, Git, HTML, JavaScript, MobX, Node.js, REST API, React, Redux, Testing (any), TypeScript",Mid-Senior level,Full-time,,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/senior-web-ui-developer-react-at-nonstop-io-technologies-4461165830
4463961302,Sr React Developer/ React Developer,Punon Technologies Pvt Ltd.,"Mumbai, Maharashtra, India",Mumbai,2026-09-11,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"CI/CD, Git, JavaScript, Jest, React, React Testing Library, Redux, Redux Toolkit, Testing (any), TypeScript",Mid-Senior level,Full-time,3,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/sr-react-developer-react-developer-at-punon-technologies-pvt-ltd-4463961302
4463505405,Frontend Developer,MathCo,"Bengaluru, Karnataka, India",Bengaluru,2026-09-08,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Authentication, Context API, Debugging, Git, Jest, Performance Optimization, REST API, React, React Testing Library, Redux, Testing (any), TypeScript",Mid-Senior level,Full-time,2,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/frontend-developer-at-mathco-4463505405
4466840646,React Developer,Scoutit,"Bengaluru, Karnataka, India",Bengaluru,2026-09-16,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Authentication, JavaScript, REST API, React, Redux",Associate,Full-time,,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/react-developer-at-scoutit-4466840646
4463271056,React JS Developer,Tata Consultancy Services,"Bengaluru, Karnataka, India",Bengaluru,2026-09-08,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"AWS, Agile/Scrum, CI/CD, Context API, Git, GraphQL, JavaScript, Jest, React, React Testing Library, Redux, Testing (any)",Mid-Senior level,Full-time,6,not stated,David Raja,Human Resources Recruiter @ Tata Consultancy Services | MBA,React Developer,,https://in.linkedin.com/jobs/view/react-js-developer-at-tata-consultancy-services-4463271056
4464475009,React Developer,SAS,"Pune Division, Maharashtra, India",Pune,2026-09-08,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Agile/Scrum, JavaScript, React, Testing (any), TypeScript",Mid-Senior level,Full-time,2,Remote,,,React Developer,,https://in.linkedin.com/jobs/view/react-developer-at-sas-4464475009
4463871281,React JS developer,Crisil,"Pune Division, Maharashtra, India",Pune,2026-09-09,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Agile/Scrum, HTML, JavaScript, React, Testing (any)",Not Applicable,Full-time,6,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/react-js-developer-at-crisil-4463871281
4463872140,React JS developer,Crisil,"Gurugram, Haryana, India",Delhi NCR,2026-09-09,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Agile/Scrum, HTML, JavaScript, React, Testing (any)",Not Applicable,Full-time,6,not stated,,,React Developer,,https://in.linkedin.com/jobs/view/react-js-developer-at-crisil-4463872140
4455635202,React Developer,TEKsystems,"Bengaluru, Karnataka, India",Bengaluru,2026-08-20,React / Frontend,Medium,Not RN,0,0,0,0,0,False,False,"Context API, Debugging, Git, JavaScript, REST API, React, Redux",Mid-Senior level,Full-time,3,Hybrid,,,React Developer,,https://in.linkedin.com/jobs/view/react-developer-at-teksystems-4455635202
